contig	strand	ss5	supp_refFlat	supp_ensGene
chr1	+	100037117	1	1
chr1	+	100038880	1	1
chr1	+	100040119	1	1
chr1	+	100040344	1	1
chr1	+	100047280		1
chr1	+	100048046		1
chr1	+	100056284		1
chr1	+	100056519		1
chr1	+	100060237		1
chr1	+	100080656		1
chr1	+	100081565		1
chr1	+	100086601	1	1
chr1	+	100088463	1	2
chr1	+	100089610	1	2
chr1	+	100089843	1	2
chr1	+	100131607	1	2
chr1	+	100133612	1	2
chr1	+	100134807	1	2
chr1	+	100135040	1	2
chr1	+	100160211	1	
chr1	+	100162008	1	1
chr1	+	100163144	1	1
chr1	+	100163377	1	1
chr1	+	100164673		1
chr1	+	100164906		1
chr1	+	100189554		1
chr1	+	100193714		1
chr1	+	100194524		1
chr1	+	100194762		1
chr1	+	100199144	1	1
chr1	+	100201262	1	1
chr1	+	100202462	1	1
chr1	+	100202695	1	1
chr1	+	100220881	1	
chr1	+	100222295	1	
chr1	+	100223965	1	
chr1	+	100224445	1	1
chr1	+	100224743	1	1
chr1	+	100234697	1	
chr1	+	100234834	1	
chr1	+	100297194	1	1
chr1	+	100299889	1	3
chr1	+	100300254	1	3
chr1	+	100300737	1	3
chr1	+	100303217	1	3
chr1	+	100303585	1	3
chr1	+	100306419	1	3
chr1	+	100306915	1	3
chr1	+	100312554	1	3
chr1	+	100312862	1	3
chr1	+	100313452	1	3
chr1	+	100314395	1	3
chr1	+	100319570	1	3
chr1	+	100319789	1	3
chr1	+	100320230	1	2
chr1	+	100322187		2
chr1	+	100328140	1	5
chr1	+	100328508	1	5
chr1	+	100329153	1	5
chr1	+	100329674	1	4
chr1	+	100330252	1	2
chr1	+	100330504	1	3
chr1	+	100330973	1	3
chr1	+	100336920	1	3
chr1	+	100340531	1	3
chr1	+	100379254		1
chr1	+	100393676		1
chr1	+	100394019	1	2
chr1	+	100395253	1	2
chr1	+	100399362	1	1
chr1	+	100401214	1	1
chr1	+	100402043	1	1
chr1	+	100404097	1	1
chr1	+	100404380	1	1
chr1	+	100404604	1	1
chr1	+	100407194	1	1
chr1	+	100448042	1	1
chr1	+	100450595	1	1
chr1	+	100471149	1	2
chr1	+	100471827	1	2
chr1	+	100472146	1	2
chr1	+	100472385	1	2
chr1	+	100472684	1	2
chr1	+	100472797		1
chr1	+	100472912	1	2
chr1	+	100473762	1	1
chr1	+	100474525	1	1
chr1	+	100476254	1	1
chr1	+	100476999	1	1
chr1	+	100501718		1
chr1	+	100502021		1
chr1	+	100502598		1
chr1	+	100505425		1
chr1	+	100577612	1	1
chr1	+	100584504	1	1
chr1	+	100584715	1	1
chr1	+	100584967	1	1
chr1	+	100585707	1	1
chr1	+	100587835	1	1
chr1	+	100588069	1	1
chr1	+	100588536	1	1
chr1	+	100594764	1	3
chr1	+	100599255	1	3
chr1	+	100600633		1
chr1	+	100601527	1	3
chr1	+	100601777		1
chr1	+	100601886		1
chr1	+	100603986		1
chr1	+	100605303	1	
chr1	+	100676044		1
chr1	+	100708924		2
chr1	+	100709080		2
chr1	+	100710300		2
chr1	+	100710503		2
chr1	+	100713400		1
chr1	+	100716973		2
chr1	+	100755709	1	1
chr1	+	100758339	1	1
chr1	+	100762113	1	1
chr1	+	100765765	1	1
chr1	+	100767772	1	1
chr1	+	100768821	1	1
chr1	+	100770675	1	1
chr1	+	100771845	1	1
chr1	+	100772520	1	1
chr1	+	100774646	1	1
chr1	+	100775902	1	1
chr1	+	100776981	1	1
chr1	+	100780513	1	1
chr1	+	100781411	1	1
chr1	+	100811813	1	1
chr1	+	100830100		1
chr1	+	100832336		1
chr1	+	100832663		2
chr1	+	100833419		2
chr1	+	100834130		2
chr1	+	100835164		2
chr1	+	100835392		2
chr1	+	100845673	1	1
chr1	+	100849232	1	1
chr1	+	100850133	1	1
chr1	+	100850384	1	1
chr1	+	100854121	1	2
chr1	+	100854720	1	2
chr1	+	100855243	1	2
chr1	+	100856354	1	2
chr1	+	100856497	1	2
chr1	+	100856870	1	2
chr1	+	100857096	1	2
chr1	+	100857530	1	2
chr1	+	100857677	1	2
chr1	+	100857859	1	2
chr1	+	100858040	1	2
chr1	+	100858187	1	2
chr1	+	100858388	1	2
chr1	+	100858548	1	2
chr1	+	100858684	1	1
chr1	+	100892116	1	2
chr1	+	100892454	1	2
chr1	+	100892730	1	2
chr1	+	100893059	1	2
chr1	+	100893364	1	2
chr1	+	100894800		1
chr1	+	100894970	1	2
chr1	+	100895218	1	2
chr1	+	100895363	1	2
chr1	+	100895511	1	2
chr1	+	100940061	1	1
chr1	+	100940611	1	1
chr1	+	100946840	1	1
chr1	+	100947087	1	1
chr1	+	100948129	1	1
chr1	+	100949014	1	1
chr1	+	100950225	1	1
chr1	+	100950780	1	1
chr1	+	100952548	1	1
chr1	+	100953629	1	1
chr1	+	100992506	1	1
chr1	+	100993434	1	1
chr1	+	100994765	1	1
chr1	+	100994930	1	1
chr1	+	100995256	1	1
chr1	+	100995740	1	1
chr1	+	100996595	1	1
chr1	+	101012985	1	1
chr1	+	101015270	1	1
chr1	+	101015479	1	1
chr1	+	101015674	1	1
chr1	+	101016280	1	1
chr1	+	101055673	1	1
chr1	+	101066202		1
chr1	+	101068981	1	2
chr1	+	101069475	1	2
chr1	+	101070086	1	2
chr1	+	101071407	1	2
chr1	+	101071607	1	2
chr1	+	101071893	1	2
chr1	+	101072077	1	2
chr1	+	101153152	1	1
chr1	+	101153569	1	1
chr1	+	101154504	1	1
chr1	+	101155241	1	1
chr1	+	101155411	1	1
chr1	+	101155828	1	1
chr1	+	101156026	1	1
chr1	+	101156522	1	1
chr1	+	101161446	1	2
chr1	+	101166355	1	2
chr1	+	101166975		1
chr1	+	101167327	1	3
chr1	+	101167714	1	3
chr1	+	101167878	1	3
chr1	+	101168106	1	3
chr1	+	101168344	1	3
chr1	+	101169283	1	3
chr1	+	101169542	1	3
chr1	+	101170327	1	3
chr1	+	101170818	1	3
