contig	strand	ss3	supp_refFlat	supp_ensGene
chr1	+	100004203		2
chr1	+	100005238		3
chr1	+	100005969		6
chr1	+	100025290		3
chr1	+	100028119		2
chr1	+	100048227		5
chr1	+	100064747		4
chr1	+	100068125		4
chr1	+	100073096		2
chr1	+	100089842		3
chr1	+	100095080		8
chr1	+	100140942		1
chr1	+	100141192		1
chr1	+	100243694		1
chr1	+	100248606		2
chr1	+	100250826		1
chr1	+	100251725		2
chr1	+	100349604		1
chr1	+	100350320		1
chr1	+	100368999		1
chr1	+	100369659		2
chr1	+	100377016		2
chr1	+	100402897		1
chr1	+	100403152		1
chr1	+	100514382		3
chr1	+	100516611		2
chr1	+	100517622		3
chr1	+	100600686		1
chr1	+	100601917		1
chr1	+	100602464		1
chr1	+	100603196		1
chr1	+	100639341		2
chr1	+	100640825		2
chr1	+	100641305		1
chr1	+	100642032		2
chr1	+	100891590		1
chr1	+	100892235		1
chr1	+	100892772		1
chr1	+	100896238		1
chr1	+	100896327		1
chr1	+	100896342		1
chr1	+	100896859		1
chr1	+	100896867		1
chr1	+	100896902		1
chr1	+	101039872		1
chr1	+	101089852		1
chr1	+	101105971		1
chr1	+	101108172		2
chr1	+	101109265		2
chr1	+	101110189		2
chr1	+	101110423		2
chr1	+	101114767		2
chr1	+	101115669		2
chr1	+	101115921		2
chr1	+	101119670		1
chr1	+	101140042		2
chr1	+	101143760		2
chr1	+	101146397		2
chr1	+	101147789		1
chr1	+	101150426		2
chr1	+	101168483		1
chr1	+	101170867		1
chr1	+	101173920		1
chr1	+	101177107		1
chr1	+	101180106		1
chr1	+	101258255		1
chr1	+	101283723		1
chr1	+	101355782		1
chr1	+	101358061		1
chr1	+	101359547		1
chr1	+	101396154		1
chr1	+	101582611		1
chr1	+	101583025		1
chr1	+	101588710		1
chr1	+	101774989		1
chr1	+	101787280		5
chr1	+	101788671		2
chr1	+	101796834		5
chr1	+	101899835		1
chr1	+	101906151		1
chr1	+	101909909		1
chr1	+	101911552		1
chr1	+	101912092		1
chr1	+	101913225		1
chr1	+	101917410		1
chr1	+	101918222		1
chr1	+	101920480		1
chr1	+	101921504		1
chr1	+	101954239		1
chr1	+	102005127		1
chr1	+	102056014		1
chr1	+	102117476		1
chr1	+	102139578		1
chr1	+	102149727		1
chr1	+	102150808		1
chr1	+	102178241		2
chr1	+	102178904		2
chr1	+	102181100		1
chr1	+	102181690		1
chr1	+	102181706		1
chr1	+	102185558		1
chr1	+	102187509		1
chr1	+	102188205		1
chr1	+	102244854		1
chr1	+	102245108		1
chr1	+	102245116		1
chr1	+	102250931		3
chr1	+	102251267		3
chr1	+	102251733		4
chr1	+	102251950		4
chr1	+	102253464		2
chr1	+	102261788		1
chr1	+	102261843		1
chr1	+	102262274		2
chr1	+	102263139		2
chr1	+	102264783		1
chr1	+	102265326		2
chr1	+	102267536		2
chr1	+	102283889	1	1
chr1	+	102285085	1	1
chr1	+	102286974	1	1
chr1	+	102317189		1
chr1	+	102317533		1
chr1	+	102317746		1
chr1	+	102318483		1
chr1	+	102321136		1
chr1	+	102321373		1
chr1	+	102321963		1
chr1	+	102322146		1
chr1	+	102322302		1
chr1	+	102322496		1
chr1	+	102322633		1
chr1	+	102322897		1
chr1	+	102327270		1
chr1	+	102327447		1
chr1	+	102329587		1
chr1	+	102360903		1
chr1	+	102361215		1
chr1	+	102361378		1
chr1	+	102361707		1
chr1	+	102363749		1
chr1	+	102366771		1
chr1	+	102368460		1
chr1	+	102390031		2
chr1	+	102392407		2
chr1	+	102394673		2
chr1	+	102398237		2
chr1	+	102398505		2
chr1	+	102399118		2
chr1	+	102402277		1
chr1	+	102414976		2
chr1	+	102415542		2
chr1	+	102415833		2
chr1	+	102416053		2
chr1	+	102417402		2
chr1	+	102417620		2
chr1	+	102418326		2
chr1	+	102418574		2
chr1	+	102418877		2
chr1	+	102419377		2
chr1	+	102419531		2
chr1	+	102419743		2
chr1	+	102419935		2
chr1	+	102420096		2
chr1	+	102422645		2
chr1	+	102422791		2
chr1	+	102425059		2
chr1	+	102425280		2
chr1	+	102425555		2
chr1	+	102425761		2
chr1	+	102426165		2
chr1	+	102426357		1
chr1	+	102426528		2
chr1	+	102428980		1
chr1	+	102429759		1
chr1	+	102441005		1
chr1	+	102441628		2
chr1	+	102441769		1
chr1	+	102441881		2
chr1	+	102442452		3
chr1	+	102443030		1
chr1	+	102443285		1
chr1	+	102443582		1
chr1	+	102443586		1
chr1	+	102443680		2
chr1	+	102444625		4
chr1	+	102445271		4
chr1	+	102447779		4
chr1	+	102447972		2
chr1	+	102452131		2
chr1	+	102452167		2
chr1	+	102452664		4
chr1	+	102452993		4
chr1	+	102453163		4
chr1	+	102453593		4
chr1	+	102453915		4
chr1	+	102455542		4
chr1	+	102455771		4
chr1	+	102457624		1
chr1	+	102458187		3
chr1	+	102458860		1
chr1	+	102460580		4
chr1	+	102460813		4
chr1	+	102461526		4
chr1	+	102461970		3
chr1	+	102461973		1
chr1	+	102462349		4
chr1	+	102463157		4
chr1	+	102467174		1
chr1	+	102468985		1
chr1	+	102469488		1
chr1	+	102471464		1
chr1	+	102471910		1
chr1	+	102472203		1
chr1	+	102472423		1
chr1	+	102472713		1
chr1	+	102473483		1
chr1	+	102473752		1
chr1	+	102473917		1
chr1	+	102475531	1	1
chr1	+	102475682	1	1
chr1	+	102476133	1	1
chr1	+	102476477	1	1
chr1	+	102476984	1	1
chr1	+	102477571	1	1
chr1	+	102478173	1	1
chr1	+	102479637		2
chr1	+	102481015		3
chr1	+	102481158		3
chr1	+	102481346		2
chr1	+	102481349		1
chr1	+	102481620		1
chr1	+	102482364		2
chr1	+	102484637		2
chr1	+	102484985		4
chr1	+	102485336		4
chr1	+	102485384		1
chr1	+	102486555		3
chr1	+	102486972		5
chr1	+	102489615		5
chr1	+	102489809		2
chr1	+	102490633		4
chr1	+	102499748		3
chr1	+	102499967		3
chr1	+	102505856		3
chr1	+	102509757		3
chr1	+	102510002		3
